Irank,EnMovieID,MovieName,BoxOffice,ShowCount,AudienceCount,AvgBoxOffice,ServicePrice
167,618441,亲爱的,344736772.0,459305,10239293,33,
168,618535,雷神2：黑暗世界,342396422.0,398126,8800083,38,
169,637145,伦敦陷落,339810226.0,673990,10670133,31,
170,655521,机械师2：复活,338931127.0,768257,10610991,31,0.0
171,566673,蝙蝠侠：黑暗骑士崛起,338787802.0,311063,9081298,37,
172,594281,特种部队2：全面反击,338058652.0,342567,8483241,39,0.0
173,619127,致青春·原来你还在这里,336791072.0,487021,11067732,30,0.0
174,605129,敢死队2,332166808.0,401523,10267986,32,1179.0
175,628035,我的特工爷爷,324438488.0,620384,10307227,31,0.0
176,617146,神偷奶爸2,323979437.0,400021,8711607,37,0.0
177,623592,博物馆奇妙夜3,323088210.0,568776,9919451,32,0.0
178,631343,万万没想到,322511393.0,473958,11239129,28,
179,629494,横冲直撞好莱坞,322356975.0,459175,8905832,36,96.0
180,592414,失恋33天,320539634.0,270530,10061854,31,
181,341723,霍比特人1：意外旅程,316285413.0,261468,7143929,44,
182,377124,机械战警,314869833.0,437978,8524591,36,0.0
183,614346,风暴,314751787.0,354180,8140905,38,
184,385555,超凡蜘蛛侠,314566817.0,297089,7751275,40,
185,602933,超级战舰,310107402.0,294332,9129501,33,
186,612127,窃听风云3,308235388.0,441041,9151776,33,57.0
187,643814,泰山归来：险战丛林,306105262.0,482816,9121767,33,
188,617356,烈日灼心,304873254.0,470793,9747369,31,51.0
189,593283,天机·富春山居图,300318665.0,326427,7792970,38,
190,618727,冰雪奇缘,298306314.0,297793,8087633,36,0.0
191,616735,小时代2：青木时代,296296783.0,324652,9494922,31,0.0
192,625380,沉睡魔咒,296246202.0,330416,8027684,36,
193,629949,熊出没之雪岭熊风,295729125.0,374274,8589537,34,0.0
194,657814,太空旅客,294817516.0,748826,8896506,35,19716983.0
195,616513,归来,291466023.0,456499,8522255,34,
196,941,满城尽带黄金甲,291032268.0,335,7077,41123,
197,393922,变形金刚,290572147.0,3545,218447,1330,
198,573880,一代宗师,289239387.0,319511,7984778,36,
199,640206,熊出没之熊心归来,287754041.0,469181,9141832,31,70.0
200,617813,微爱之渐入佳境,286378384.0,419847,8383605,34,
201,572692,狄仁杰之通天帝国,286199039.0,213935,8637003,33,
202,627393,咱们结婚吧,284488329.0,392757,8519131,33,
203,623468,木星上行,284394604.0,410317,7583009,37,
204,610950,不二神探,284005021.0,361824,9073995,31,16.0
205,626988,封神传奇,283942830.0,483452,8460108,33,
206,627004,有一个地方只有我们知道,283662535.0,365885,8554853,33,
207,627468,超体,278082908.0,393361,7257007,38,
208,184,赤壁(上),276859776.0,202647,8336769,33,
209,631411,微微一笑很倾城,275834989.0,512444,8511878,32,
210,616332,催眠大师,273893065.0,430192,8637675,31,360.0
211,610462,厨子戏子痞子,272836855.0,333982,8673574,31,257.0
212,572813,十月围城,269429668.0,156604,7984453,33,
213,642914,王牌逗王牌,260291909.0,491971,8787217,29,0.0
214,348314,异星战场,260106283.0,257829,6573519,39,
215,566774,无人区,259628768.0,392495,8286668,31,
216,618023,卧虎藏龙：青冥宝剑,256252879.0,462847,7193089,35,
217,643885,海底总动员2：多莉去哪儿,254207769.0,565302,7870123,32,0.0
218,618407,金蝉脱壳,253864237.0,366989,8128915,31,
219,629859,马达加斯加的企鹅,253215399.0,331412,7250969,34,0.0
220,596138,寒战,253036591.0,382974,7987898,31,
221,591934,蓝精灵,252524842.0,175612,6618074,38,
222,589909,速度与激情5,252166967.0,207927,7827564,32,
223,637665,前任2：备胎反击战,252001995.0,447772,8341175,30,
224,557894,非诚勿扰,250793221.0,150162,7402002,33,
225,1818,英雄,250009866.0,82,2271,110088,
226,592078,金刚狼2,249708212.0,364006,6665141,37,0.0
227,639004,极盗者,248549466.0,425995,7433399,33,
228,617164,熊出没之夺宝熊兵,248084247.0,316165,7183107,34,
229,555157,赤壁(下),243539620.0,147103,7172322,33,
230,618406,里约大冒险2,242459749.0,309691,6664443,36,0.0
231,572844,三枪拍案惊奇,239376221.0,163422,7362560,32,
232,612120,扫毒,237909994.0,344254,7452894,31,
233,643426,神战：权力之眼,235418631.0,448245,7005851,33,
234,593828,听风者,232200061.0,253025,6544867,35,
235,572828,叶问2：宗师传奇,231080827.0,196908,6974445,33,
236,613011,撒娇女人最好命,230485708.0,426946,6893563,33,
237,299356,爱丽丝梦游仙境,228751275.0,126169,4884836,46,
238,658378,爱乐之城,228720709.0,459849,7280954,33,17514528.0
239,618165,一生一世,228522573.0,391922,7221209,31,
240,644926,海洋奇缘,226152407.0,436073,7284397,31,868150.0
241,306340,洛杉矶之战,226023878.0,225348,7101422,31,
242,622970,饥饿游戏3：嘲笑鸟(上),225101668.0,310048,5981129,37,0.0
243,630414,爸爸去哪儿2,223521523.0,230517,6906906,32,
244,602960,普罗米修斯,223211001.0,237984,5561698,40,
245,555826,敢死队,216293714.0,181962,6724588,32,
246,627482,失孤,216179123.0,414327,6904524,31,
247,631325,我是证人,215266561.0,396335,6747925,31,68.0
248,616713,重返地球,214585088.0,260656,6543060,32,
249,608197,盲探,214191298.0,254432,6687887,32,16.0
250,615259,赏金猎人,213463202.0,349883,6670667,32,0.0
251,396492,谍影重重4,213148965.0,297655,6531204,32,
252,573920,新少林寺,212543119.0,172043,5877413,36,
253,339970,哈利·波特与死亡圣器(上),210632597.0,173041,6515719,32,
254,692,集结号,210418490.0,97483,2409405,87,
255,566546,马达加斯加3,210077972.0,230305,5392925,38,
256,618734,赤道,209738358.0,290691,5383675,38,
257,593849,怪兽大学,209686154.0,262207,5683146,36,
258,639446,反贪风暴2,209071367.0,572461,7216319,28,0.0
259,590196,窃听风云2,208934989.0,210575,6263298,33,
260,617372,老男孩之猛龙过江,208876480.0,261176,6780792,30,
261,559677,风声,205195243.0,153285,6183180,33,
262,626390,闺蜜,204929380.0,279098,6439744,31,586.0
263,1491,画皮,204708158.0,167217,6788180,30,
264,631010,飓风营救3,204391340.0,372485,5470456,37,
265,618013,痞子英雄2：黎明升起,204330979.0,278047,5516746,37,
266,615250,虎胆龙威5,201257638.0,321536,6233831,32,
267,592544,101次求婚,200006484.0,237271,5968026,33,
268,573396,四大名捕,199852030.0,262031,6205296,32,142.0
269,617708,单身男女2,198748753.0,346385,5992777,33,
270,634293,移动迷宫2,196912808.0,370384,5717472,34,
271,588420,武林外传,196000000.0,151914,5452046,35,
272,631264,解救吾先生,195920012.0,304301,6283272,31,
273,1414,投名状,195489333.0,44748,700901,278,
274,555839,太平轮（上）,195423414.0,365748,5040298,38,
275,658818,欢乐好声音,194939907.0,485403,6098707,34,14690672.0
276,588593,将爱情进行到底,193638602.0,200800,5515007,35,
277,612420,分手合约,192846874.0,291533,6124939,31,
278,610953,四大名捕3,192341874.0,294991,5284087,36,72.0
279,644059,陆垚知马俐,192065565.0,362649,6650731,28,
280,590198,大侦探福尔摩斯2,188069761.0,153763,5615535,33,
281,620574,暴力街区,187287516.0,242002,5949592,31,0.0
282,567900,武林外传,186535385.0,158475,5198960,35,
283,592671,猩球崛起,184326621.0,194390,5937601,31,
284,617988,黄飞鸿之英雄有梦,184228855.0,300653,4976528,37,
285,573862,赵氏孤儿,182050497.0,164260,5462544,33,
286,558985,赵氏孤儿,182048686.0,164100,5462277,33,
287,612672,全民目击,181174288.0,302885,5709041,31,0.0
288,619412,谁的青春不迷茫,179903667.0,400114,5883553,30,
289,633345,最后的巫师猎人,179891127.0,379571,6244267,28,
290,613854,一夜惊喜,177323701.0,228247,5694145,31,45.0
291,617258,惊天危机,177265653.0,213907,5420996,32,
292,346817,钢铁侠2,175098508.0,161151,5354820,32,
293,587844,白蛇传说,175021267.0,217480,5519763,31,
294,1558,无极,175002949.0,15,570,307022,
295,602842,饥饿游戏,174655325.0,199001,5076993,34,
296,610952,四大名捕2,174280393.0,275757,4739287,36,109.0
297,589861,大魔术师,173640778.0,156061,5129245,33,
298,626778,新娘大作战,173367868.0,249896,5213953,33,
